Source URL,Source object level,Destination URL,Destination object level,Last job start time,Last job end time,Last job status,Last job comment,Migrated size (GB),Successful objects,Objects with exceptions,Error objects,Skipped objects,Filtered out objects,Objects with ignored errors,Comment
https://ourvolaris.sharepoint.com/sites/GRPQAExPretio,Site collection,https://mbuexpretio.sharepoint.com/sites/GRPQA,Site collection,2026-05-21 07:18:54 (UTC+00:00),2026-05-21 11:48:21 (UTC+00:00),Exceptions,"Some objects failed in the migration. For additional error details, click on the error tab at the top. Follow the recommendations on how to resolve and try to run the job again.",5.89,43100,0,367,0,0,0,
https://ourvolaris.sharepoint.com/sites/GRPQABusValExPretio,Site collection,https://mbuexpretio.sharepoint.com/sites/GRPQABusVal,Site collection,2026-05-21 07:18:55 (UTC+00:00),2026-05-21 07:31:25 (UTC+00:00),Finished,, < 0.01,331,0,0,0,0,0,
https://ourvolaris.sharepoint.com/sites/GRPProjetsRH-ExPretio-,Site collection,https://mbuexpretio.sharepoint.com/sites/GRPProjetsRH,Site collection,2026-05-21 07:19:26 (UTC+00:00),2026-05-21 07:39:33 (UTC+00:00),Finished,, < 0.01,9,0,0,0,0,0,
https://ourvolaris.sharepoint.com/sites/GRPPROJETS-ExPretio-,Site collection,https://mbuexpretio.sharepoint.com/sites/GRPPROJETS,Site collection,2026-05-21 07:19:29 (UTC+00:00),2026-05-21 07:39:35 (UTC+00:00),Finished,, < 0.01,13,0,0,0,0,0,
https://ourvolaris.sharepoint.com/sites/GRPProjetRH-ExPretio-,Site collection,https://mbuexpretio.sharepoint.com/sites/GRPProjetRH,Site collection,2026-05-21 07:19:31 (UTC+00:00),2026-05-21 07:31:17 (UTC+00:00),Finished,, < 0.01,13,0,0,0,0,0,
https://ourvolaris.sharepoint.com/sites/GRPProjetRecrutement-ExPretio-,Site collection,https://mbuexpretio.sharepoint.com/sites/GRPProjetRecrutement,Site collection,2026-05-21 07:19:31 (UTC+00:00),2026-05-21 07:41:50 (UTC+00:00),Exceptions,"Some objects failed in the migration. For additional error details, click on the error tab at the top. Follow the recommendations on how to resolve and try to run the job again.", < 0.01,12,1,0,0,0,0,
https://ourvolaris.sharepoint.com/sites/GRPProductExPretio-ProductManagement,Site collection,https://mbuexpretio.sharepoint.com/sites/GRPProduct-ProductManagement,Site collection,2026-05-21 07:19:29 (UTC+00:00),2026-05-21 07:42:44 (UTC+00:00),Exceptions,"Some objects failed in the migration. For additional error details, click on the error tab at the top. Follow the recommendations on how to resolve and try to run the job again.", < 0.01,54,2,0,0,0,0,
https://ourvolaris.sharepoint.com/sites/GRPProductExPretio-Fun,Site collection,https://mbuexpretio.sharepoint.com/sites/GRPProduct-Fun,Site collection,2026-05-21 07:19:30 (UTC+00:00),2026-05-21 07:40:41 (UTC+00:00),Exceptions,"Some objects failed in the migration. For additional error details, click on the error tab at the top. Follow the recommendations on how to resolve and try to run the job again.", < 0.01,14,2,0,0,0,0,
https://ourvolaris.sharepoint.com/sites/GRPProductExPretio,Site collection,https://mbuexpretio.sharepoint.com/sites/GRPProduct,Site collection,2026-05-21 07:19:30 (UTC+00:00),2026-05-21 10:45:53 (UTC+00:00),Exceptions,"Some objects failed in the migration. For additional error details, click on the error tab at the top. Follow the recommendations on how to resolve and try to run the job again.",207.86,43155,0,27585,0,0,0,
https://ourvolaris.sharepoint.com/sites/GRPPMO-ExPretio-,Site collection,https://mbuexpretio.sharepoint.com/sites/GRPPMO,Site collection,2026-05-21 07:19:31 (UTC+00:00),2026-05-21 07:39:24 (UTC+00:00),Finished,, < 0.01,39,0,0,0,0,0,
https://ourvolaris.sharepoint.com/sites/GRPPayrollItemsRodJonesPortfolio-CAN-ZOL-ExPretio,Site collection,https://mbuexpretio.sharepoint.com/sites/GRPPayrollItemsRodJonesPortfolio-CAN-ZOL-,Site collection,2026-05-21 07:19:31 (UTC+00:00),2026-05-21 07:36:16 (UTC+00:00),Exceptions,"Some objects failed in the migration. For additional error details, click on the error tab at the top. Follow the recommendations on how to resolve and try to run the job again.",0.04,212,1,0,0,0,0,
